title,tag,weather,time,cost,copy,copy_one,copy_two,DateNumber,neighborhood,link
Jen's Roti Shop,Restaurant,All,Day and Night,$,You should...,go to Jen's Roti Shop in Flatbush,and just agree not to fight. ,Any,B,https://plus.google.com/115477248371148841478/about?gl=us&hl=en
Village Yokocho,Restaurant,All,Day and Night,$$,You should...,eat at Village Yokocho by Astor Place,and tell your date it's not their fault. ,Any,M,https://plus.google.com/115737687878034802288/about?gl=us&hl=en
Chinelos 2,Restaurant,All,Day and Night,$,You should...,eat at Chinelos 2 in Harlem,and be ready to wash your sheets the next day. ,Any,M,https://plus.google.com/116199091376120601197/about?gl=us&hl=en
Caffe Capri,Coffee,All,Day,$,You should...,get coffee at Caffe Capri in Williamsburg,and ask if your date has an innie or an outie. ,Any,B,https://plus.google.com/116840248554755820044/about?gl=us&hl=en
Casa Adela,Restaurant,All,Day and Night,$,You should...,eat at Casa Adela on Avenue C,and think about how you'd introduce your date to your parents. ,Any,M,https://plus.google.com/117036291774664030671/about?gl=us&hl=en
Haandi,Restaurant,All,Day and Night,$,You should...,eat at Haandi in Curry Hill,but only if you have faith in your date's digestive system. ,Any,M,https://plus.google.com/117331875455838375019/about?gl=us&hl=en
Tropical House Baking Company,Restaurant,All,Day and Night,$,You should...,go to Tropical House Baking Company in Crown Heights,and be glad you won't die alone. ,Any,B,https://plus.google.com/118122492109327628164/about?gl=us&hl=en
Giuseppina's,Restaurant,All,Day and Night,$$,You should...,go to Giuseppina's Pizza in South Slope,and make your bed before you go out. ,Any,B,https://plus.google.com/118265941427005111579/about?gl=us&hl=en
Manhattan Sailing School,Activity,Warm,Day,$$$,You should...,go sailing at Manhattan Sailing School,and debate who's the captain and who's the first mate.,2+,M,https://sailmanhattan.com/
Batting cages @ The Baseball Center,Activity,All,Day,$$,You should...,go to the batting cages at The Baseball Center on the Upper West Side,and cheer each other on.,Any,M,https://thebaseballcenter.com/
Blue Apron,Activity,All,Night,$$,You should...,cook something from blue apron,and then eat each other. ,Dating,"M, B",https://www.blueapron.com/
Blue Hill New York,Restaurant,All,Day and Night,$$$,You should...,eat at Blue Hill in the Village,and then make the beast with two backs. ,Any,M,https://www.bluehillfarm.com/dine/new-york
Blue Hill at Stone Barns,Restaurant,All,Day and Night,$$$,You should...,go to Blue Hill at Stone Barns,and bring a ring with you. ,Any,N,https://www.bluehillfarm.com/dine/stone-barns
Citi Biki through Brooklyn Bridge Park,Activity,Warm,Day and Night,$,You should...,Citi Bike through Brooklyn Bridge Park,and bring a helmet for your date. Safety first!,2+,B,https://www.citibikenyc.com/
Citi Bike the Williamsburg Waterfront,Activity,Warm,Day and Night,$,You should...,Citi Bike along the Williamsburg Waterfront,and let the wind blow your hair back.,2+,B,https://www.citibikenyc.com/
Citi Bike through Hudson River Park,Activity,Warm,Day and Night,$,You should...,Citi Bike through Hudson River Park,and see if you can hold hands while you ride.,2+,M,https://www.citibikenyc.com/
Citi Bike the East River Promenade,Activity,Warm,Day and Night,$,You should...,Citi Bike the East River Promenade,and take frequent breaks to enjoy the view.,2+,M,https://www.citibikenyc.com/
The Bearded Lady,Bar,All,Day and Night,$$,You should...,drink at The Bearded Lady in Prospect Heights,and talk about transgender issues in America. ,Any,B,https://www.facebook.com/BeardedLadyBrooklyn
Erv's on Beekman,Bar,All,Day and Night,$$,You should...,enjoy a drink at Erv's on Beekman in Lefferts Gardens,and prove how good a kisser you are. ,Any,B,https://www.facebook.com/ervsonbeekman?ref=hl
Koko Wings,Restaurant,All,Day and Night,$$,You should...,go to Koko Wings in Harlem,and talk about where you'd go if you could fly. ,Any,M,https://www.facebook.com/kokowingsnyc
Kuro Kuma Coffee,Coffee,All,Day,$,You should...,go to Kuro Kuma Coffee in Harlem,and kiss at the end of the date. ,Any,M,https://www.facebook.com/pages/Kuro-Kuma-Espresso-Coffee/339036329464481
Hudson Common,Bar,All,Day and Night,$$,You should...,have a drink at Hudson Common in Midtown,and discuss your favorite bodies of water. ,Any,M,https://www.morganshotelgroup.com/hudson/hudson-new-york/eat-drink/hudson-common
Rainbow Room,Restaurant,All,Day and Night,$$$,You should...,go to The Rainbow Room,and pretend it's a meeting room for a student LGBT group. ,Any,M,https://www.rainbowroom.com/
Skating at Rockefeller Center,Activity,Cold,Day and Night,$$,You should...,go ice skating at Rockefeller Center,and take a lot of pictures.,Any,M,https://www.rockefellercenter.com/attractions/the-rink-at-rockefeller-center/
TKTS,Activity,All,Day and Night,$$,You should...,go to TKTS,and get some tickets to some cool Broadway shows. ,2+,M,https://www.tdf.org/nyc/7/TKTS-ticket-booths
The Dead Poet,Bar,All,Day and Night,$$,You should...,drink at The Dead Poet on the Upper West,and resist the urge to make Dead Poets Society jokes.,Any,M,https://www.thedeadpoet.com/ordereze/default.aspx
UCB,Activity,All,Night,$,You should...,see an improv show at UCB,"and after, talk about what jokes you liked best. ",2+,M,https://www.ucbtheatre.com/
UCB East,Activity,All,Night,$,You should...,see an improv show at UCB East,and see if you can guess who your date's favorite actor is. ,2+,M,https://www.ucbtheatre.com/
Via Quadronno,Restaurant,All,Day and Night,$$$,You should...,go to Via Quadronno on the Upper East,and only talk about fun things. ,Any,M,https://www.viaquadronno.com/
French fries crawl,Activity,All,Day and Night,$$,You should...,go on a french fry crawl around Manhattan,and debate the respective merits of the condiments.,Any,M,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kakU84U4QoLY&usp=sharing
Wine Bar Crawl Brooklyn,Activity,All,Day and Night,$$$,You should...,go on a wine bar crawl in Brooklyn,and appreciate how your date gets more attractive as the time passes. ,Any,B,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.klTA3Vk5bQVo&usp=sharing
Ice Cream Crawl Brooklyn,Activity,All,Day and Night,$$,You should...,go on an ice cream crawl in Brooklyn,"and don't stop eating, even when you think you want to. ",Any,B,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kovqpvG5aaQc&usp=sharing
Ice Cream Crawl Manhattan,Activity,All,Day and Night,$$,You should...,go on an ice cream crawl in Manhattan,"and get your date a cup of water. It's a marathon, not a sprint. ",Any,M,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.ksUkEr9bhTYM&usp=sharing
Taco Crawl Manhattan,Activity,All,Day and Night,$$,You should...,go on a Taco Crawl in Manhattan,"and if your date isn't into that, find a new date. ",Any,M,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kYcAYXuKJcl4&usp=sharing
Taco Crawl Brooklyn,Activity,All,Day and Night,$$,You should...,go on a Taco Crawl in Brooklyn,"and keep eating, even after it starts to hurt. ",Any,B,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kjUV8_mkgj_4&usp=sharing
Cookie Crawl Manhattan,Activity,All,Day and Night,$$,You should...,go on a cookie crawl in Manhattan,and lick the melted chocolate off your date's lips. ,Any,M,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kPtKxYBxprvo&usp=sharing
Cookie Crawl Brooklyn,Activity,All,Day and Night,$$,You should...,go on a cookie crawl in Brooklyn,and make sure you get some milk to dip it in. ,Any,B,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kdp94rIA7YxM&usp=sharing
Wine Bar Crawl Manhattan,Activity,All,Day and Night,$$$,You should...,go on a wine bar crawl in Manhattan,"and make up descriptions of the wine... ""Hints of cinnamon.""",Any,M,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kma9liI9SXa0&usp=sharing
Bar Crawl Brooklyn,Activity,All,Day and Night,$$,You should...,go on a bar crawl in Brooklyn,and then crawl all over each other.,Any,B,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kd0mHm0dBxRc&usp=sharing
Froyo crawl,Activity,All,Day and Night,$$,You should...,go on an NYC froyo crawl,and try to guess each other's favorite flavors.,Any,M,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kEsUzliYAOXo&usp=sharing
Bar Crawl Manhattan,Activity,All,Day and Night,$$,You should...,go on a bar crawl in Manhattan,and try to stay standing.,Any,M,https://www.google.com/maps/d/edit?mid=zvMJsJhY-SCA.kaqKa9on7XLM&usp=sharing
